dataset_name,fraction,num_providers,type_partition,num_objects,num_attributes,density,context_sensitivity,threshold,global_stability,Runtime,CPU_Usage,RAM_Usage,RAM_Used
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.5,0.0,0.6398331722038745,608.6670894622803,0.0,13.4,1.380655288696289
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.6,0.0,0.6479492166899748,608.7886211872101,0.0,13.4,1.3805885314941406
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.7000000000000001,0.0,0.6192234912991744,608.9092793464661,5.0,13.4,1.3805866241455078
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.8,0.0,0.6866171317422515,609.0310127735138,5.0,13.4,1.3805274963378906
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.9,0.0,0.646579909701879,609.1511244773865,7.5,13.4,1.3805294036865234
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.1,0.5,0.9765,609.2718739509583,4.75,13.4,1.3805255889892578
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.2,0.5,0.6662777777777779,609.3879065513611,2.5,13.4,1.3805122375488281
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.30000000000000004,0.5,0.7452000000000001,609.5059261322021,2.5,13.4,1.3804550170898438
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.4,0.5,0.8125,609.6237666606903,2.5,13.4,1.3804473876953125
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.5,0.5,0.842013888888889,609.7399363517761,0.0,13.4,1.3804397583007812
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.6,0.5,0.9530000000000001,609.8569672107697,0.0,13.4,1.3804302215576172
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.7000000000000001,0.5,0.625,609.9742472171783,0.0,13.4,1.3804206848144531
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.8,0.5,0.8592500000000001,610.0913770198822,5.0,13.4,1.380411148071289
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.9,0.5,0.8099999999999999,610.2167038917542,0.0,13.4,1.380401611328125
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.1,0.8,0.5,610.3331348896027,0.0,13.4,1.380392074584961
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.2,0.8,0.812,610.4505116939545,0.0,13.4,1.3803768157958984
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.30000000000000004,0.8,0.75,610.5675992965698,2.65,13.4,1.3803348541259766
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.4,0.8,0.8333333333333334,610.6839764118195,0.0,13.4,1.3803253173828125
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.5,0.8,0.5,610.8005182743073,0.0,13.4,1.3803157806396484
dataset_200_10_6_IID,0.5,10,IID,200,10,0.6,0.6,0.8,1.0,610.9176144599915,0.0,13.4,1.3803062438964844
